epoch,loss,mean_absolute_error,mean_absolute_percentage_error,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error
0,0.173509657,0.345638514,71527240,0.322004229,0.426214039,62025552
1,0.133860692,0.311400205,57867352,0.274590462,0.391672909,27515610
2,0.130324081,0.307186007,56442240,0.198890224,0.370285034,76189904
3,0.122640513,0.299940437,54179376,0.1764597,0.367383718,100142488
4,0.118058734,0.290420711,48394328,0.339454025,0.456589043,103304072
5,0.146894202,0.320710778,66816224,0.483081639,0.580946267,259930768
6,0.143303066,0.316563874,61319176,0.248373449,0.384812534,47719276
7,0.122887753,0.296014458,48685808,0.206272006,0.389107436,140172880
8,0.133845955,0.305416256,61234556,0.191845611,0.362384588,81460888
9,0.112183511,0.280315906,47010456,0.21247676,0.380360782,98351896
10,0.112387717,0.279219449,44477788,0.175318837,0.353351891,93757360
11,0.11371848,0.282391548,46483864,0.173757508,0.354203254,102604592
12,0.112739123,0.282849401,45699584,0.199112996,0.368960857,98484736
13,0.112560779,0.279608846,45511876,0.171700239,0.358169466,111977360
14,0.110582493,0.276298314,46037444,0.186517149,0.357334316,96641088
15,0.112803563,0.276867062,45193604,0.184159741,0.362758547,109615272
16,0.115176775,0.279203296,46912104,0.205476299,0.36705032,90007472
17,0.120242737,0.284971803,49148612,0.170580953,0.341970742,86684272
18,0.111565001,0.274076164,43261008,0.174751922,0.352320164,88525648
19,0.107452862,0.269457728,43022788,0.166592807,0.345789015,102403704
20,0.112832576,0.270833164,44624064,0.183842942,0.35716939,83840472
21,0.119340442,0.278131157,43061604,0.170794144,0.34510833,95565656
22,0.115624592,0.275327265,46084992,0.16542767,0.342926919,96091152
23,0.149385601,0.311371118,59623752,0.294676304,0.396990269,16962666
24,0.124782816,0.285228044,48523660,0.173838273,0.35604164,100490568
